0-massfield-mass-0-ExternalShear-gamma_ext,0-massfield-mass-0-ExternalShear-phi_ext,1-galaxy-mass-0-PEMD-theta_E,1-galaxy-mass-0-PEMD-gamma,1-galaxy-mass-0-PEMD-q,1-galaxy-mass-0-PEMD-phi,1-galaxy-mass-0-PEMD-center_x,1-galaxy-mass-0-PEMD-center_y,2-galaxy-light-0-IrregularGrid-lambda,probability_weights
0.023930,33.474607,1.867551,1.851025,0.745503,12.205001,-0.071829,-0.021235,272.976960,12233.5
0.036813,72.442635,1.896258,2.024489,0.774252,71.202065,-0.164397,-0.123000,1.716221,12414.4
0.024401,67.353407,1.840525,1.832306,0.838105,23.426371,0.063365,0.148316,6.395698,12421.3
0.032992,74.891599,1.874913,2.176106,0.630052,23.466614,-0.154973,-0.023897,104.008850,12431
0.030066,67.274346,1.985908,2.039072,0.656064,38.144891,-0.017146,0.121096,396.744996,12496
0.020720,18.972101,1.828524,1.919720,0.605818,11.958838,0.068860,-0.025882,225.930229,12519.7
0.017681,73.629175,1.790114,1.958611,0.817482,34.015694,0.081398,-0.010550,350.607356,12547
0.023038,66.308954,1.825489,1.800439,0.812796,80.170369,-0.087118,0.037693,77.959932,12550.7
0.035819,50.391192,1.868951,1.921318,0.654306,39.450660,0.091183,0.143652,3.500510,12553.2
0.019732,79.248430,1.849360,1.970554,0.715861,17.446852,-0.142555,0.109235,1.864698,12721.2
0.037482,88.528701,1.948872,1.956696,0.657898,77.373748,-0.187349,-0.047707,2.458090,12722.3
0.029570,5.433726,1.803797,2.096377,0.792032,25.543867,-0.108701,-0.025082,4.226377,12730.9
0.010645,78.034912,1.308669,1.960466,0.963400,89.138802,0.131314,0.106588,1.903618,12750
0.032684,74.602656,1.307339,1.985298,0.891086,77.190746,0.197192,0.036005,6.115917,12762.5
0.032668,50.766352,1.342267,2.178950,0.932620,76.080285,-0.161719,0.037771,20.321800,12764
0.007648,70.281901,1.347140,1.866809,0.957706,11.610628,-0.061313,0.096055,4.753922,12790.5
0.005816,72.753326,1.342405,1.961313,0.871623,70.267090,-0.022206,0.090604,181.124222,12801.5
0.020190,83.763242,1.765230,1.939621,0.925868,78.762043,0.198497,0.142864,0.106462,12809.4
0.039786,89.035445,1.771332,2.148390,0.895572,81.375867,0.115857,-0.188103,0.107599,12816.2
0.031635,3.083012,1.225126,1.932742,0.974482,85.430401,-0.090223,0.099928,0.132277,12816.8
0.039368,45.661932,1.821121,2.002833,0.745847,83.311628,-0.034406,-0.192389,3.905895,12816.9
0.016516,30.866105,1.254197,2.175184,0.983849,55.160809,-0.102969,0.096087,1.760363,12818.6
0.021143,17.215501,1.779814,1.845022,0.703751,70.507073,-0.084699,-0.188525,0.176884,12825.5
0.035876,26.870922,1.294809,1.960114,0.921472,47.805038,0.139995,0.040929,145.459755,12838.1
0.018624,78.833063,1.760009,1.954118,0.916615,75.798626,-0.090006,-0.094878,76.653792,12841
0.024077,87.002433,1.341731,1.951369,0.944241,10.018555,-0.186035,-0.029815,0.106672,12849.8
0.039745,9.281098,1.948739,2.065986,0.728256,70.694307,0.136447,0.121372,176.100440,12856.4
0.011529,54.765912,1.787901,2.161792,0.759272,31.578516,0.006450,0.045030,5.557049,12878.5
0.006085,3.461375,2.043358,1.859894,0.634810,4.818165,0.112476,0.182583,0.727155,12890
0.028049,39.674812,1.372728,1.963654,0.915562,0.495141,-0.036752,-0.079724,0.210876,12891.2
0.037394,4.648477,1.379421,1.843388,0.889553,3.099298,0.093468,0.142203,89.457207,12897.3
0.022422,34.694202,1.799024,2.080844,0.786294,1.803029,-0.108633,-0.033141,50.857845,12924.4
0.010831,28.369392,1.389151,2.102676,0.857484,66.232699,-0.009707,0.154259,0.182641,12938.8
0.008792,11.197150,1.402005,1.997831,0.955798,47.727646,-0.169176,0.124408,426.178196,12968.5
0.032084,5.935439,1.798155,2.045980,0.686208,53.524468,-0.092087,0.146732,2.089657,12971.3
0.030367,18.760116,1.737947,1.983803,0.856475,36.908698,0.102072,-0.029709,0.129803,13003.6
0.011655,41.931816,1.364314,2.066311,0.893595,31.997380,-0.019562,-0.189623,6.476699,13041.9
0.010629,40.529611,1.896409,1.906562,0.702425,86.458685,0.121173,-0.050098,5.853197,13043.1
0.021226,60.816257,1.856080,2.087409,0.600573,89.860010,-0.119955,0.131138,1.406830,13051.9
0.012460,10.460352,1.915490,2.023180,0.694130,80.616705,0.029198,0.071221,0.389060,13056.5
0.012054,44.499575,2.156966,2.077149,0.616720,77.227755,0.172842,-0.028309,213.307768,13056.8
0.009168,24.281909,1.408461,1.986047,0.853190,66.629215,-0.185155,0.022476,246.541238,13056.8
0.027913,54.285260,1.366902,2.164934,0.845922,74.390579,-0.004126,-0.164026,2.791842,13057.6
0.015751,31.797658,1.926015,2.010123,0.635161,66.114108,0.043233,0.047488,0.313482,13062.4
0.023170,87.253295,1.884810,1.878141,0.648064,54.310049,-0.036149,-0.085484,0.670390,13074.2
0.026875,69.328153,1.759662,1.852769,0.813714,29.333878,0.099197,-0.047255,3.650950,13077
0.023558,60.402902,1.987950,1.911276,0.631139,68.627869,0.125494,-0.033141,77.701176,13077.1
0.019022,20.709153,2.112399,1.998967,0.647061,67.186557,0.173135,-0.196711,107.654516,13078.5
0.035656,41.501160,1.546671,1.920895,0.651227,85.856894,0.075490,0.196754,913.817138,13101.2
0.024974,45.290784,1.726723,2.068853,0.849753,65.063953,-0.000528,-0.033427,81.373345,13101.5
0.013812,75.567849,1.421824,1.891862,0.814432,60.093348,-0.046226,0.037410,0.130691,13109.4
0.017770,73.116213,2.026719,1.909945,0.614809,25.035637,-0.160146,0.001587,3.313611,13116
0.027177,56.871350,1.732446,1.989400,0.937523,73.999819,0.119927,-0.044382,176.375987,13119.7
0.039547,1.630316,1.775109,2.187805,0.607586,16.782013,0.010355,-0.022034,0.885259,13127.9
0.020488,40.499371,1.758551,1.968665,0.622520,89.856604,-0.172415,0.081289,0.141376,13129.8
0.027290,31.876628,1.727784,2.093179,0.750906,60.708410,0.060093,0.011572,27.441940,13132.2
0.033303,1.475971,2.099762,2.055145,0.616061,80.942078,-0.141522,0.134841,86.677192,13141.2
0.008959,10.697422,1.786767,1.871411,0.657768,50.367481,-0.069289,-0.032617,0.199282,13143
0.032393,10.781649,1.472200,2.036891,0.827315,16.845700,-0.127680,-0.034872,0.136678,13169.1
0.037945,23.794498,1.418385,2.065688,0.736067,66.183341,0.001781,0.092015,0.311612,13170.4
0.020817,69.656501,1.713747,2.119971,0.741604,29.836582,0.024955,-0.120098,521.557367,13191.5
0.014104,36.576185,2.058119,1.999581,0.660507,74.803569,0.077177,0.187597,171.279647,13207.1
0.035250,44.764819,1.730257,1.836997,0.717969,2.224619,-0.061211,-0.123751,166.863033,13211.2
0.007331,39.286702,1.675861,2.063644,0.717607,78.511868,-0.115430,0.069421,496.070099,13257.3
0.031323,28.486980,1.631227,1.914247,0.640454,75.346320,-0.091097,-0.043137,1.056729,13260.6
0.010067,16.683887,1.468908,1.817876,0.719926,86.455777,-0.109371,0.083928,0.269642,13262.2
0.009148,66.711828,1.407067,1.993672,0.819980,50.027592,-0.099846,-0.103473,67.028260,13265.5
0.010878,60.847140,1.677642,2.115586,0.803489,80.847729,0.027435,0.149554,0.118384,13268.1
0.036390,35.037712,1.495962,2.117573,0.684638,57.788483,0.144270,0.137871,0.148584,13274.9
0.017850,67.592740,1.435315,1.829405,0.940174,25.285774,-0.197826,0.091089,15.812493,13277
0.026653,8.446394,1.445424,1.842453,0.953981,25.580764,0.165559,-0.151451,0.271846,13282.5
0.017120,80.123291,1.533892,1.823091,0.613999,88.939455,0.003807,0.033073,5.127249,13285.8
0.025276,58.729843,1.480396,1.818986,0.983831,74.099478,-0.179109,-0.009896,221.247202,13290
0.017780,55.886158,1.718751,2.005781,0.929103,79.430691,-0.012419,-0.113196,3.981552,13297.2
0.018427,26.694186,1.506004,2.085242,0.909068,61.120672,-0.103961,0.011307,0.162590,13302.7
0.023421,55.369849,1.710740,1.804830,0.752852,5.533445,0.068799,0.126364,50.929594,13303.3
0.012289,14.540362,1.502752,2.092021,0.907357,51.007150,0.031924,0.180640,0.154820,13312
0.018764,63.012471,1.417904,1.861056,0.720568,73.582204,0.068359,-0.189787,0.654535,13315
0.020618,11.407515,1.669755,2.107954,0.845290,64.365442,-0.122105,0.185227,117.166396,13317.1
0.019728,75.035272,1.685657,2.136066,0.791481,68.889852,-0.149139,0.123972,0.148424,13326.4
0.022792,76.220494,1.440698,2.004797,0.842483,79.387051,0.129173,-0.001879,4.752032,13333.4
0.037861,68.301138,1.714951,2.158381,0.653337,1.324008,-0.183348,-0.021791,15.081925,13333.5
0.009003,82.447398,1.691108,1.826305,0.894050,89.202842,0.001657,0.031126,676.756096,13334.7
0.015591,73.289827,1.634130,1.917878,0.619461,53.734742,-0.112398,0.089922,218.974260,13336.4
0.039999,62.636914,1.666580,1.851925,0.643207,56.466342,-0.071157,0.033044,328.897278,13337.6
0.007790,38.262377,1.715231,2.132558,0.749584,19.804509,-0.132177,0.015060,47.200476,13350.6
0.030552,59.846086,1.478659,1.869694,0.981198,63.447268,-0.102098,-0.081776,60.527185,13355.6
0.021832,22.994803,1.669889,1.949813,0.922578,42.629163,0.195347,-0.119131,275.494585,13356.5
0.019951,14.398082,1.497240,1.965686,0.927745,60.919989,0.144829,0.019141,654.952483,13360.7
0.029012,76.696002,1.620700,2.020423,0.668970,62.001360,0.044868,0.045653,0.137374,13365.7
0.029301,70.808407,1.658767,1.882184,0.713714,32.439679,0.057457,0.050532,0.113274,13371.3
0.026225,43.658440,1.458377,1.906075,0.952341,25.174476,0.168146,-0.089816,12.514774,13395.1
0.033627,9.492048,1.642514,2.051354,0.795900,88.930614,-0.120265,-0.152080,4.157346,13396.3
0.027424,62.411065,1.641935,1.910304,0.720985,52.552933,0.149685,0.192141,1.148460,13419.7
0.008130,32.381312,1.423024,1.850673,0.760344,36.990929,0.149478,-0.066324,41.246555,13419.8
0.009995,77.371318,1.668422,2.118002,0.733390,81.342604,0.094107,-0.111685,3.897345,13420.5
0.013734,40.651082,1.665097,2.000417,0.654825,48.557543,-0.014207,-0.008078,64.734958,13427.1
0.024223,20.284190,1.518020,1.817071,0.981135,12.572613,-0.159066,0.080677,141.702165,13429.9
0.025605,78.016008,1.536977,1.950732,0.986579,85.155909,-0.111522,-0.026745,0.171791,13433.1
0.009186,51.697469,1.474958,2.067709,0.856177,52.279198,0.145437,-0.115289,0.381374,13435.2
0.023080,37.396604,1.482725,1.850780,0.972624,26.999864,0.093006,-0.074389,25.195375,13435.5
0.020679,56.432260,1.655062,2.107660,0.747236,50.535697,-0.120412,-0.197693,0.348955,13442.8
0.031309,68.924904,1.462622,2.099540,0.731781,32.262749,0.189039,0.175792,5.929228,13445.3
0.038831,71.881721,1.616872,1.906271,0.631837,64.594261,-0.009093,-0.101350,156.004127,13446.5
