0-massfield-mass-0-ExternalShear-gamma_ext,0-massfield-mass-0-ExternalShear-phi_ext,1-galaxy-mass-0-PEMD-theta_E,1-galaxy-mass-0-PEMD-gamma,1-galaxy-mass-0-PEMD-q,1-galaxy-mass-0-PEMD-phi,1-galaxy-mass-0-PEMD-center_x,1-galaxy-mass-0-PEMD-center_y,2-galaxy-light-0-IrregularGrid-lambda,2-galaxy-light-0-IrregularGrid-l_corr,2-galaxy-light-0-IrregularGrid-eta,probability_weights
0.028409,76.520489,1.919032,1.907429,0.734751,54.843337,0.081755,0.039954,57075.743825,0.658761,1.205257,12179.1
0.035991,42.709254,1.940190,1.852755,0.706974,11.746954,-0.081432,-0.072148,5.822294,0.737364,2.924345,12245.3
0.016226,15.563893,1.835940,2.116913,0.826304,75.246558,0.183992,-0.153480,4.265965,0.214413,1.287903,12253.5
0.006439,29.297490,1.240172,1.883079,0.976390,20.270891,-0.020539,0.122235,107607.387906,0.058135,1.392333,12260.2
0.006851,23.680928,1.786784,1.904742,0.725252,24.466429,-0.156542,-0.146809,159977.420441,0.862980,2.436471,12279.8
0.012318,81.122709,1.761727,1.826518,0.700574,77.306752,0.023528,0.118911,484155.455407,0.537361,0.990767,12302.1
0.029965,68.217427,1.806666,1.906503,0.793908,78.812796,-0.102507,0.092390,29495.747604,0.843942,3.070094,12312.4
0.025711,1.551610,1.781351,2.159976,0.876033,62.840526,0.105440,-0.151252,295797.226528,0.534879,0.532084,12314.2
0.015359,86.305171,1.797622,1.873725,0.779006,37.777830,-0.169432,0.025286,160728.312231,0.722294,2.157556,12319.3
0.019450,38.308157,1.836796,1.849894,0.805967,6.046128,0.099894,-0.113580,10802.440877,0.592012,1.059392,12388.6
0.021090,86.720404,1.482809,1.907125,0.972418,17.783926,-0.033111,-0.141543,4.812958,0.127207,0.166856,12405.9
0.021376,58.510872,1.560251,2.184631,0.799341,75.343455,0.012306,0.048372,1.226311,0.288510,0.511342,12419.7
0.019623,46.904068,1.836871,1.968184,0.706691,68.934032,0.127159,0.016253,100058.837497,0.683193,0.987179,12419.7
0.028878,51.508412,1.810184,2.070416,0.803282,61.306640,-0.060744,-0.047513,129.169136,0.620443,1.605718,12467.7
0.036813,72.442635,1.896258,2.024489,0.774252,71.202065,-0.164397,-0.123000,57.404879,0.231171,1.090224,12470.9
0.022121,72.126060,1.435591,2.002033,0.865850,71.183140,0.015970,0.198027,8.663917,0.317398,0.127870,12484.1
0.039210,63.447268,1.416728,1.918224,0.871240,64.714161,0.101800,-0.094172,2.133487,0.188928,1.130517,12489.9
0.032339,79.514650,1.992005,1.997520,0.680581,27.633576,0.056545,0.197131,76.463515,0.753383,2.708331,12528.9
0.026675,66.838975,1.872603,2.167632,0.653120,11.111614,0.161472,0.031418,14.300297,0.527930,1.194391,12530
0.016516,30.866105,1.254197,2.175184,0.983849,55.160809,-0.102969,0.096087,59.519914,0.146135,1.113799,12542.6
0.027041,34.209489,1.665687,2.075890,0.893503,68.695369,-0.004177,-0.162452,1.490527,0.320221,0.637765,12546.6
0.008730,36.295395,1.760552,2.112298,0.773350,65.385974,0.125798,0.067577,271548.767148,0.355882,1.277359,12548.5
0.035388,24.453303,1.267663,2.180913,0.923517,63.139409,-0.189430,0.016921,253677.322869,0.716045,0.680927,12556.2
0.009117,21.283570,1.932102,2.197562,0.726968,20.183355,-0.067894,-0.199164,97.679143,0.630031,0.414070,12616.4
0.023561,38.603361,2.023994,1.882482,0.670306,24.150755,-0.073207,0.150334,12.638292,0.765883,4.391022,12628.6
0.013101,28.586512,1.942661,1.896561,0.759937,30.687845,0.122698,-0.047828,4.520477,0.660542,1.095497,12643.8
0.038822,2.928790,1.816376,2.142295,0.846322,41.173781,0.045333,0.103929,1854.741630,0.116087,1.166643,12668.2
0.036891,11.608397,1.822027,2.093628,0.729891,15.305264,-0.185362,0.096419,203.810431,0.394443,0.061007,12668.6
0.039046,17.431961,1.775472,2.094961,0.676681,71.332179,-0.017167,0.008993,140953.402487,0.105646,1.019333,12675.6
0.007261,74.031930,1.812616,1.896869,0.705932,18.768409,0.141536,0.074294,3796.995225,0.104663,1.381087,12680.2
0.018776,29.686040,1.791930,2.191310,0.756651,17.361912,-0.167202,-0.099532,5.281605,0.485693,1.005038,12681.1
0.011011,88.193146,1.798855,1.994360,0.737640,74.188727,-0.030993,0.133530,15.958835,0.439892,0.400610,12690.1
0.011892,56.885608,1.760114,1.869860,0.819211,46.368753,-0.175983,-0.138319,18061.059887,0.701126,0.979644,12694.3
0.035656,41.501160,1.546671,1.920895,0.651227,85.856894,0.075490,0.196754,439748.719669,0.893818,0.972954,12706.8
0.036041,39.009259,1.877815,1.875573,0.682219,82.320626,-0.127422,0.119246,16167.699957,0.626166,2.287261,12707.5
0.023249,19.726950,1.884893,1.902097,0.761678,84.161958,-0.163027,0.065345,14871.481957,0.770329,1.180483,12714.6
