Nested Sampling Global Log-Evidence           :    0.180827731187208592E+05  +/-    0.557613748137470222E+00

Dim No.       Mean        Sigma
   1    0.341259587495850447E+00    0.312251498378661139E-01
   2    0.769265173235937350E+00    0.121230122776820062E+00
   3    0.472775762437020630E+00    0.247571748310391956E-01
   4    0.329451733312991490E+00    0.341367452563803228E-01
   5    0.391271707376702804E+00    0.484660360529921147E-01
   6    0.282338413416038381E+00    0.152580389423263175E-01
   7    0.586573314926587486E+00    0.141342246343554648E-01
   8    0.845784666215311787E+00    0.659760947498176653E-02
   9    0.363222303030917792E+00    0.981099924464711934E-02
  10    0.907173619636730266E+00    0.962778129413408533E-02
  11    0.699016046237368571E+00    0.303079800007776644E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.350791831652335073E+00
   2    0.666190790930716203E+00
   3    0.479002414410515387E+00
   4    0.340163597540492024E+00
   5    0.422943959987497675E+00
   6    0.267496495077767127E+00
   7    0.573101963852661545E+00
   8    0.848395011529152088E+00
   9    0.357018023554120711E+00
  10    0.900263643212385500E+00
  11    0.709277096186469280E+00

MAP Parameters
Dim No.        Parameter
   1    0.350791831652335073E+00
   2    0.666190790930716203E+00
   3    0.479002414410515387E+00
   4    0.340163597540492024E+00
   5    0.422943959987497675E+00
   6    0.267496495077767127E+00
   7    0.573101963852661545E+00
   8    0.848395011529152088E+00
   9    0.357018023554120711E+00
  10    0.900263643212385500E+00
  11    0.709277096186469280E+00
