Nested Sampling Global Log-Evidence           :    0.203425671331522681E+05  +/-    0.607004783743120613E+00

Dim No.       Mean        Sigma
   1    0.382555208949171777E+00    0.138144553230919211E-01
   2    0.701123545346085231E+00    0.555871228210250354E-01
   3    0.407123008372990425E+00    0.993326753192837544E-02
   4    0.241009938955472597E+00    0.139621672558585055E-01
   5    0.405772707610574657E+00    0.185481429781857235E-01
   6    0.232245931155975888E+00    0.313881386187648756E-02
   7    0.629139980333405124E+00    0.438181458031409576E-02
   8    0.839595839168289948E+00    0.138480380340751021E-01
   9    0.418732075438748463E+00    0.779027701282089535E-01
  10    0.830832506703239382E+00    0.146329695453836679E-01
  11    0.610217565539726614E+00    0.642500068883846559E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.377283707389349354E+00
   2    0.678492293418291981E+00
   3    0.404869725126593638E+00
   4    0.237498893190466270E+00
   5    0.413916067044635350E+00
   6    0.231953905483584022E+00
   7    0.627703444421810031E+00
   8    0.837864725950277167E+00
   9    0.409821561874827156E+00
  10    0.827593951833909491E+00
  11    0.631586718535200986E+00

MAP Parameters
Dim No.        Parameter
   1    0.377283707389349354E+00
   2    0.678492293418291981E+00
   3    0.404869725126593638E+00
   4    0.237498893190466270E+00
   5    0.413916067044635350E+00
   6    0.231953905483584022E+00
   7    0.627703444421810031E+00
   8    0.837864725950277167E+00
   9    0.409821561874827156E+00
  10    0.827593951833909491E+00
  11    0.631586718535200986E+00
